,0
1381,71.45367
1382,71.94087
1383,71.92194
1384,69.983925
1385,69.46155
1386,73.87034
1387,71.35474
1388,71.62804
1389,71.97873
1390,71.984085
1391,70.06805
1392,69.58642
1393,73.438965
1394,70.870415
1395,71.284355
1396,71.68921
1397,71.771965
1398,69.891594
1399,69.42084
1400,73.31389
1401,70.72403
1402,71.1272
1403,71.56676
1404,71.67718
1405,69.8054
1406,69.264824
1407,73.64079
1408,71.07515
1409,71.42229
1410,71.771996
1411,71.628075
1412,69.73893
1413,69.16201
1414,73.29254
1415,70.7154
1416,71.02986
1417,71.47914
1418,71.50649
1419,69.67711
1420,69.147675
1421,73.37715
1422,70.74577
1423,71.07833
1424,71.55174
1425,71.545815
1426,69.70104
1427,69.240204
1428,73.43226
1429,70.84631
1430,71.16682
1431,71.62935
1432,71.57258
1433,69.684525
1434,69.16844
1435,73.09937
1436,70.5507
1437,70.88485
1438,71.34078
1439,71.358795
1440,69.43097
1441,68.8774
1442,73.031136
1443,70.43126
1444,70.83895
1445,71.31088
1446,71.27211
1447,69.468285
1448,68.94797
1449,73.07954
1450,70.56299
1451,70.829
1452,71.22888
1453,71.17578
1454,69.433846
1455,68.83203
1456,72.973595
1457,70.36592
1458,70.66251
1459,71.03008
1460,70.96041
1461,69.08183
1462,68.57575
1463,73.039986
1464,70.35825
1465,70.57541
1466,71.00966
1467,70.94986
1468,69.10537
1469,68.61668
1470,72.81933
1471,70.17838
1472,70.52513
1473,70.98355
1474,70.93005
1475,69.12081
1476,68.51317
1477,73.06557
1478,70.493774
1479,70.79358
1480,71.23323
1481,71.13308
1482,69.23056
1483,68.67934
1484,72.99587
1485,70.389725
1486,70.752945
1487,71.1653
1488,70.98935
1489,69.10797
1490,68.565865
1491,72.907005
1492,70.30022
1493,70.68251
1494,71.15316
1495,71.1046
1496,69.231186
1497,68.6534
1498,72.86413
1499,70.13077
1500,70.40901
1501,70.84397
1502,70.80797
1503,68.89558
1504,68.44675
1505,72.92494
1506,70.1652
1507,70.49024
1508,70.90079
1509,70.86394
1510,68.949005
1511,68.4884
1512,72.69132
1513,69.99817
1514,70.31456
1515,70.74513
1516,70.61438
1517,68.803665
1518,68.31808
1519,72.63179
1520,69.97358
1521,70.30535
1522,70.67517
1523,70.63128
1524,68.80455
1525,68.28183
1526,72.646324
1527,69.96496
1528,70.31816
1529,70.7362
1530,70.67697
1531,68.783165
1532,68.2572
1533,72.44253
1534,69.751755
1535,70.06409
1536,70.55294
1537,70.47067
1538,68.599396
1539,68.10315
1540,72.59773
1541,69.97136
1542,70.27896
1543,70.640236
1544,70.5161
1545,68.62957
